,molecule_chembl_id,canonical_smiles,standard_value,units,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL151539,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,13.0,nM,active,371.415,0.7462000000000003,2.0,7.0,7.886056647693163
1,CHEMBL151718,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,20.0,nM,active,385.44200000000006,1.1346999999999996,2.0,7.0,7.698970004336019
2,CHEMBL357728,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,26.0,nM,active,448.5010000000002,2.3134000000000006,2.0,8.0,7.585026652029182
3,CHEMBL348210,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,255.0,nM,active,387.45800000000014,0.6519000000000003,3.0,7.0,6.5934598195660445
4,CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,662.0,nM,active,448.5410000000002,2.0601999999999996,2.0,7.0,6.1791420105603
5,CHEMBL346624,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,22.0,nM,active,357.38800000000003,0.35610000000000064,2.0,7.0,7.657577319177793
6,CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,519.0,nM,active,434.51400000000024,2.0176999999999987,2.0,7.0,6.284832642151542
8,CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,40.0,nM,active,480.5860000000003,3.579500000000002,2.0,6.0,7.3979400086720375
9,CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,15.0,nM,active,429.9260000000001,2.2329000000000003,2.0,6.0,7.823908740944319
10,CHEMBL151591,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,212.0,nM,active,345.3770000000001,-0.5167999999999984,3.0,7.0,6.673664139071248
13,CHEMBL150655,COc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1,17.0,nM,active,329.334,-0.20619999999999944,3.0,7.0,7.769551078621726
14,CHEMBL151331,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\N3CCNCC3)C[C@@H]2C(=O)NO)cc1,184.0,nM,active,439.5380000000002,0.39510000000000234,3.0,8.0,6.735182176990463
17,CHEMBL150483,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,81.0,nM,active,406.42000000000013,1.1446999999999996,2.0,8.0,7.0915149811213505
19,CHEMBL440355,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC)C[C@@H]2C(=O)NO)cc1,39.0,nM,active,399.4690000000001,1.5263999999999995,2.0,7.0,7.4089353929735005
20,CHEMBL80969,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,492.0,nM,active,404.48800000000017,2.0090999999999988,2.0,6.0,6.308034897232639
