,molecule_chembl_id,canonical_smiles,standard_value,units,corrected_value,class
0,CHEMBL151539,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,13.0,nM,13.0,active
1,CHEMBL151718,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,20.0,nM,20.0,active
2,CHEMBL357728,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,26.0,nM,26.0,active
3,CHEMBL348210,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,255.0,nM,255.0,active
4,CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,662.0,nM,662.0,active
5,CHEMBL346624,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,22.0,nM,22.0,active
6,CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,519.0,nM,519.0,active
7,CHEMBL78934,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,3670.0,nM,3670.0,intermediate
8,CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,40.0,nM,40.0,active
9,CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,15.0,nM,15.0,active
10,CHEMBL151591,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,212.0,nM,212.0,active
11,CHEMBL80453,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,1210.0,nM,1210.0,intermediate
12,CHEMBL312432,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,4750.0,nM,4750.0,intermediate
13,CHEMBL150655,COc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1,17.0,nM,17.0,active
14,CHEMBL151331,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\N3CCNCC3)C[C@@H]2C(=O)NO)cc1,184.0,nM,184.0,active
15,CHEMBL306617,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,2900.0,nM,2900.0,intermediate
16,CHEMBL79111,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,7060.0,nM,7060.0,intermediate
17,CHEMBL150483,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,81.0,nM,81.0,active
18,CHEMBL78798,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,1950.0,nM,1950.0,intermediate
19,CHEMBL440355,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC)C[C@@H]2C(=O)NO)cc1,39.0,nM,39.0,active
20,CHEMBL80969,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,492.0,nM,492.0,active
21,CHEMBL78909,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1,490.0,nM,490.0,active
22,CHEMBL76137,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1,1330.0,nM,1330.0,intermediate
23,CHEMBL310340,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1,1380.0,nM,1380.0,intermediate
24,CHEMBL440498,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,233.0,nM,233.0,active
25,CHEMBL150027,O=C(NO)[C@H]1C/C(=N/Oc2ccccc2)CN1S(=O)(=O)c1ccc(Oc2ccncc2)cc1,32.0,nM,32.0,active
26,CHEMBL346442,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)C1,24.0,nM,24.0,active
27,CHEMBL76836,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,393.0,nM,393.0,active
28,CHEMBL150077,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1,119.0,nM,119.0,active
29,CHEMBL357796,COCCOc1ccc(S(=O)(=O)N2CC(NOC)C[C@@H]2C(=O)NO)cc1,4235.0,nM,4235.0,intermediate
30,CHEMBL312429,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,368.0,nM,368.0,active
31,CHEMBL78549,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,1720.0,nM,1720.0,intermediate
32,CHEMBL78508,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,2560.0,nM,2560.0,intermediate
33,CHEMBL150242,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)C1,3.0,nM,3.0,active
34,CHEMBL80732,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1,1260.0,nM,1260.0,intermediate
35,CHEMBL309311,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,1500.0,nM,1500.0,intermediate
36,CHEMBL151399,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,90.0,nM,90.0,active
37,CHEMBL79433,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,801.0,nM,801.0,active
38,CHEMBL78299,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,238.0,nM,238.0,active
39,CHEMBL421966,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)C1,3.0,nM,3.0,active
40,CHEMBL357934,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC(C)C)C[C@@H]2C(=O)NO)cc1,75.0,nM,75.0,active
41,CHEMBL310684,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC=C(C)C)CC2)cc1,1390.0,nM,1390.0,intermediate
42,CHEMBL80321,CCC(CC)Oc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,3160.0,nM,3160.0,intermediate
43,CHEMBL80183,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4cccs4)cc3)CC2)cc1,531.0,nM,531.0,active
44,CHEMBL358405,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OCCOC)cc2)C1,1548.0,nM,1548.0,intermediate
45,CHEMBL312770,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCc3ccccc3)CC2)cc1,1930.0,nM,1930.0,intermediate
46,CHEMBL78337,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,1410.0,nM,1410.0,intermediate
47,CHEMBL81763,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C3CCCCCCC3)CC2)cc1,2640.0,nM,2640.0,intermediate
48,CHEMBL311436,O=C(NO)C1(S(=O)(=O)c2ccc(-c3ccco3)cc2)CCN(Cc2ccccc2)CC1,40.0,nM,40.0,active
49,CHEMBL151024,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OCCCC)cc2)C1,329.0,nM,329.0,active
50,CHEMBL151235,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)C1,86.0,nM,86.0,active
