action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32564,[],CHEMBL715372,"In vitro inhibition of human recombinant collagenase-1 (Matrix metalloprotease-1, MMP-1)",B,,,BAO_0000190,BAO_0000357,single protein format,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '21.23', 'le': '0.43', 'lle': '7.14', 'sei': '6.71'}",CHEMBL151539,,CHEMBL151539,7.89,0,http://www.openphacts.org/units/Nanomolar,295494,=,1,1,=,,IC50,nM,,13.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,13.0
,,33777,[],CHEMBL715372,"In vitro inhibition of human recombinant collagenase-1 (Matrix metalloprotease-1, MMP-1)",B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '19.97', 'le': '0.40', 'lle': '6.57', 'sei': '6.55'}",CHEMBL151718,,CHEMBL151718,7.70,0,http://www.openphacts.org/units/Nanomolar,295467,=,1,1,=,,IC50,nM,,20.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,20.0
,,33783,[],CHEMBL715372,"In vitro inhibition of human recombinant collagenase-1 (Matrix metalloprotease-1, MMP-1)",B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '16.91', 'le': '0.33', 'lle': '5.28', 'sei': '5.82'}",CHEMBL357728,,CHEMBL357728,7.58,0,http://www.openphacts.org/units/Nanomolar,295484,=,1,1,=,,IC50,nM,,26.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,26.0
,,33789,[],CHEMBL715372,"In vitro inhibition of human recombinant collagenase-1 (Matrix metalloprotease-1, MMP-1)",B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '17.02', 'le': '0.35', 'lle': '5.94', 'sei': '5.63'}",CHEMBL348210,,CHEMBL348210,6.59,0,http://www.openphacts.org/units/Nanomolar,295489,=,1,1,=,,IC50,nM,,255.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,255.0
,,33891,[],CHEMBL714547,In vitro inhibitory activity against matrix metalloprotease-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '13.78', 'le': '0.27', 'lle': '4.12', 'sei': '5.88'}",CHEMBL80814,,CHEMBL80814,6.18,0,http://www.openphacts.org/units/Nanomolar,140729,=,1,1,=,,IC50,nM,,662.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,662.0
,,35013,[],CHEMBL715372,"In vitro inhibition of human recombinant collagenase-1 (Matrix metalloprotease-1, MMP-1)",B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,,,CHEMBL1132553,J Med Chem,1999.0,"{'bei': '21.43', 'le': '0.44', 'lle': '7.30', 'sei': '6.52'}",CHEMBL346624,,CHEMBL346624,7.66,0,http://www.openphacts.org/units/Nanomolar,295469,=,1,1,=,,IC50,nM,,22.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,22.0
,,35114,[],CHEMBL714547,In vitro inhibitory activity against matrix metalloprotease-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '14.46', 'le': '0.29', 'lle': '4.26', 'sei': '5.98'}",CHEMBL276119,,CHEMBL276119,6.29,0,http://www.openphacts.org/units/Nanomolar,140707,=,1,1,=,,IC50,nM,,519.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,519.0
,,35119,[],CHEMBL714547,In vitro inhibitory activity against matrix metalloprotease-1,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '10.54', 'le': '0.22', 'lle': '0.95', 'sei': '5.67'}",CHEMBL78934,,CHEMBL78934,5.43,0,http://www.openphacts.org/units/Nanomolar,140739,=,1,1,=,,IC50,nM,,3670.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,3670.0
,,35124,[],CHEMBL714547,In vitro inhibitory activity against matrix metalloprotease-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '15.39', 'le': '0.30', 'lle': '3.82', 'sei': '7.71'}",CHEMBL78369,,CHEMBL78369,7.40,0,http://www.openphacts.org/units/Nanomolar,140738,=,1,1,=,,IC50,nM,,40.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,40.0
,,35128,[],CHEMBL714547,In vitro inhibitory activity against matrix metalloprotease-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,,,CHEMBL1145787,J Med Chem,2003.0,"{'bei': '19.88', 'le': '0.40', 'lle': '6.01', 'sei': '7.19'}",CHEMBL514138,CGS-27023A,CHEMBL267178,7.82,1,http://www.openphacts.org/units/Nanomolar,140734,=,1,1,=,,IC50,nM,,15.0,CHEMBL332,Homo sapiens,Interstitial collagenase,9606,,,IC50,nM,UO_0000065,,15.0
